page,text,Class
11,U.S. Department of Justice Att:arAe~·Wark Praattet // Me~· C0Atttil'lMttt... government and individuals associated with the... Counsel's charging decisions. Volume II addresses the President ' s actions ... interference in the 2016 presidential election... Special Counsel ' s investigation. Volume II s... that guided that investigation. 3 NaN,2
12,"U.S. Department of Justice Atterrte~· Werk Predttet // May Cetttairt Mate... EXECUTIVE SUMMARY TO VOLUME I RUSSIAN SOCIAL MEDIA CAMPAIGN The Internet Research Agency (IRA) carried out... operations identified by the investigation - a... amplify political and social discord in the Un... Russia, and received funding from Russian olig... controlled. Pri ozhin is widel re orted to hav... In mid-2014, the IRA sent em lo mission with instructions The IRA later used social media accounts and i... political system through what it termed ""infor... generalized program designed in 2014 and 2015 ... targeted operation that by early 2016 favored ... The IRA' s operation also included the purchas... names of U.S. persons and entities, as well as... States. To organize those rallies, IRA employe... made contact with Trump supporters and Trump C... investigation did not identify evidence that a... IRA. Section II of this report details the Off... campaign. RUSSIAN HACKING OPERATIONS At the same time that the IRA operation began ... early 2016, the Russian government employed a ... (hacking) and releases of hacked materials dam... intelligence service known as the Main Intelli... Army (GRU) carried out these operations. In March 2016, the GRU began hacking the email... volunteers and employees, including campaign c... hacked into the computer networks of the Democ... (DCCC) and the Democratic National Committee (... of documents from the compromised email accoun... announced in mid-June 2016 the Russian governm... began disseminating stolen materials through t... ""Guccifer 2.0."" The GRU later released additio... 4 NaN",0
13,"U.S. Department of Justice AH:erHey\¥Brit Pr6d1:1et// Mtty Cet1:tttiflMtt... The presidential campaign of Donald J. Trump (... showed interest in WikiLeaks ' s releases of d... candidate Clinton . Beginning in June 2016, ll... senior Campaign officials that WikiLeaks would... Clinton. WikiLeaks ' s first release came in J... announced that he hoped Russia would recover e... used b Clinton when she was Secreta of State h... WikiLeaks began releasing Podesta ' s stolen emails on October 7, 2016, ... video considered damaging to candidate Trump. ... investigation into the Russian hacking operati... supporters to obtain Clinton-related emails. RUSSIAN CONTACTS WITH THE CAMPAIGN The social media campaign and the GRU hacking ... contacts between Trump Campaign officials and ... The Office investigated whether those contacts... or coordinating with Russia in its election-in... established that the Russian government percei... worked to secure that outcome, and that the Ca... information stolen and released through Russia... members of the Trump Campaign conspired or coo... election interference activities . The Russian contacts consisted of business con... Campaign, invitations for candidate Trump and ... officials and representatives of the Russian g... improved U.S.-Russian relations. Section IV of... and the Trump Campaign during the campaign and... are summarized below in chronological order. 2015. Some of the earliest contacts were made ... real-estate project in Russia known as Trump T... oflntent for Trump Tower Moscow by November 20... executive Michael Cohen emailed and spoke abou... government press secretary Dmitry Peskov. The ... at least June 2016 , including by considering ... Spring 2016. Campaign foreign policy advisor G... with Joseph Mifsud, a London-based professor w... Moscow in April 2016. Immediately upon his ret... Papadopoulos that the Russian government had ""... 5 NaN",2
14,"U.S. Department of Justice l\.ttortte~·Work Pt'od1:1et // Mtty Cotttttitt Mttterittl Proteeted Uttder... of emails. One week later, in the first week o... representative of a foreign government that th... the Russian government that it could assist th... information damaging to candidate Clinton. Thr... thereafter, Papadopoulos worked with Mifsud an... between the Campaign and the Russian governmen... Summer 2016. Russian outreach to the Trump Cam... 2016, as candidate Trump was becoming the pres... June 9, 2016, for example, a Russian lawyer me... Trump Jr., Jared Kushner, and campaign chairma... proposing the meeting had described as ""offici... incriminate Hillary."" The materials were offer... government's support for Mr. Trump."" The writt... showed that the Campaign anticipated receiving... candidate Trump's electoral prospects, but the... information. Days after the June 9 meeting, on June 14, 201... announced that Russian government hackers had ... opposition research on candidate Trump, among ... In July 2016 , Campaign foreign policy advisor... to Moscow and gave the keynote address at the ... in Russia between 2003 and 2007 . After return... with at least two Russian intelligence officer... conspiracy to act as an unregistered agent of ... advocacy for pro-Russian foreign policy drew m... from Page and, by late September 2016, removed... July 2016 was also the month WikiLeaks first r... DNC. On July 22, 2016, WikiLeaks posted thousa... information about the Clinton Campaign. Within... intelligence agencies had ""high confidence"" th... emails and documents from the DNC. And within ... informed the FBI about its May 2016 interactio... Russian government could assist the Trump Camp... government rep01ting, the FBI opened an invest... Russian government and individuals associated ... Separately, on August 2, 2016 , Trump campaign... City with his long-time business associate Kon... to Russian intelligence. Kilimnik requested th... Ukraine that Manafort acknowledged to the Spec... Russia to control part of eastern Ukraine; bot... Trump 's assent to succeed (were he to be elec... 6 NaN",2
15,"U.S. Department of Justice Atteffle'.}'Nm•kP1:1edttet // May Cm~taittMaterial Preteetecl Uttcler Fed... Trump Campaign and Manafort's strategy for win... Months before that meeting, Manafort had cause... and the sharing continued for some period of t... Fall 2016. On October 7, 2016, the media relea... graphic terms about women years earlier, which... than an hour later, WikiLeaks made its second ... had been stolen by the GRU in late March 2016.... were at the time continuing their investigatio... in the presidential election. That same day, O... the Office of the Director of National Intelli... Government directed the recent compromises of ... including from US political organizations ."" T... materials through online platforms such as Wik... interfere with the US election process."" Post-2016 Election. Immediately after the Nove... officials and prominent Russian businessmen be... administration. The most senior levels of the ... Russian Embassy made contact hours after the e... arrange a call with President Putin. Several R... Kirill Dmitriev, the chief executive officer o... the Russians who tried to make contact with th... business associate steered Dmitriev to Erik Pr... associate of senior Trump advisor Steve Bannon... January 2017 in the Seychelles and discussed U... another business associate introduced Dmitriev... on the Campaign or the Transition Team. Dmitri... written reconciliation plan for the United Sta... cleared through Putin. The friend gave that pr... Kushner later gave copies to Bannon and incomi... On December 29, 2016, then-President Obama imp... interfered in the election. Incoming National ... Ambassador Sergey Kislyak and asked Russia not... sanctions. The following day, Putin announced ... response to the sanctions at that time. Hours ... on delay (by V. Putin)."" The next day, on Dece... the request had been receiv ed at the highest ... of Flynn's request. *** On January 6, 2017 , members of the intelligen... on a joint assessment-drafted and coordinated ... 7 NaN",2
16,"U.S. Department of Justice Atterttey 'Nerk Prndttet // Mtty Cetttttitt Mo... National Security Agency-that concluded with h... election through a variety of means to assist ... declassified version of the assessment was pub... Between mid-January 2017 and early February 20... House Permanent Select Committee on Intelligen... Intelligence (SSCI), and the Senate Judiciary ... conduct inquiries, or had already been conduct... election. Then-FBI Director James Comey later ... investigation into Russian interference that h... open-session testimony before HPSCI, Comey sta... I have been authorized by the Department of Ju... of our counterintelligence mission, is investi... to interfere in the 2016 presidential election... nature of any links between individuals associ... the Russian government and whether there was a... campaign and Russia ' s efforts .... As wit... this will also include an assessment of whethe... The investigation continued under then-Directo... 2017, when President Trump fired Comey as FBI ... Volume II of the rep01t. On May 17, 2017, Acting Attorney General Rod R... and authorized him to conduct the investigatio... testimony, as well as matters arising directly... the scope of 28 C.F .R. § 600.4(a), which gene... investigation. President Trump reacted negatively to the Spec... that it was the end of his presidency, sought ... unrecuse from the Russia investigation and to ... efforts to curtail the Specia l Counsel's inve... including through public and private contacts ... are described and ana lyzed in Volume II of th... *** THE SPECIAL COUNSEL'S CHARGING DECISIONS In reaching the charging decisions described i... determined whether the conduct it found amount... chargeable under the Principles of Federal Pro... (2018). The standard set forth in the Justice ... so, whether admissib le evidence would probabl... 8 NaN",2
17,"U.S. Department of Justice A1:1:erHey \¥erk Predt1et // Mey CeHtttiHMatel... and whether prosecution would serve a substant... served by prosecution elsewhere or through non... 27 .220. Section V of the report provides detailed expl... which contain three main components. First, the Office determined that Russia's two... U.S. presidential election-the social media ca... violated U.S. criminal law. Many of the indivi... campaign have been charged with participating ... undermining through deceptive acts the work of... influence in U.S. elections , as well as relat... Research Agency, et al., No. 18-cr-32 (D.D.C.)... carried out the hacking into Democratic Party ... individuals affiliated with the Clinton Campai... the federal computer-intrusion statute, and th... Ne ksho, et al., No. 18-cr-215 D.D.C .. Second, while the investigation identified num... the Russian government and individuals associa... not sufficient to support criminal charges. Am... charge any Campaign official as an unregistere... principal. And our evidence about the June 9, ... materials was not sufficient to charge a crimi... was not sufficient to charge that any member o... representatives of the Russian government to i... Third, the investigation established that seve... Campaign lied to the Office, and to Congress, ... individuals and related matters. Those lies ma... election interference. The Office charged some... statements statute. Former National Security A... his interactions with Russian Ambassador Kisly... Papadopoulos, a foreign policy advisor during ... investigators about, inter alia, the nature an... professor who told Papadopoulos that the Russi... thousands of emails. Former Trump Organization... makin false statements to Con ress about the T... 9 NaN",2
18,"U.S. Department of Justice AttorAe:y•Work Proa1:1et // MieyCotttaiAMateri... Manafort lied to the Office and the grand jury... with Konstantin Kilimnik about Trump Campaign ... *** The Office investigated several other events t... potential Russia-related contacts. For example... between Russian Ambassador Kislyak and Trump C... 2016 foreign policy speech in Washington, D.C.... Convention were brief, public, and non-substan... one Campaign official's efforts to dilute a po... assistance to Ukraine were undertaken at the b... investigation also did not establish that a me... 2016 at Sessions's Senate office included any ... campaign. The investigation did not always yield admissi... picture of the activities undertaken by subjec... their Fifth Amendment right against compelled ... judgment, appropriate candidates for grants of... witnesses and information-such as information ... members of the media-in light of internal Depa... Manual§§ 9-13.400, 13.410. Some of the informa... presumptively covered by legal privilege and w... ""taint"") team. Even when individuals testified... provided information that was false or incompl... described above. And the Office faced practica... well-numerous witnesses and subjects lived abr... States. Further, the Office learned that some of the i... we investigated-including some associat... communications or communicated during the rele... encryption or that do not provide for long-ter... such cases , the Office was not able to corrob... contemporaneous communications or fully questi... inconsistent with other known facts. Accordingly, while this report embodies factua... believes to be accurate and complete to the gr... the Office cannot rule out the possibility tha... light on (or cast in a new light) the events d... 10 NaN",2
19,"U.S. Department of Justice Atten'ley Werk Predttet /,' Ma:,·Cet'itaifl:Mc... I. THE SPECIAL COUNSEL'S INVESTIGATION On May 17, 2017, Deputy Attorney General Rod J... Attorney General for the Russia investigation ... Jeff Sessions on March 2, 2016-appointed ... interference with the 2016 presidential electi... Gen., Order No. 3915-2017, Appointment of Spec... with the 2016 Presidential Election and Relate... Relying on ""the authority vested"" in the Actin... 510, and 515,"" the Acting Attorney General ord... order to discharge [the Acting Attorney Genera... management of the Department of Justice , and ... Russian government's efforts to interfere in t... (introduction). ""The Special Counsel,"" the Ord... confirmed by then-FBI Director James B. Comey ... Committee on Intelligence on March 20, 2017,"" ... (i) any links and/or coordination between the ... associated with the campaign of President Dona... (ii) any matters that arose or may arise direc... (iii) any other matters within the scope of 28... Appointment Order ,r(b). Section 600.4 affords... and prosecute federal crimes committed in the ... Special Counsel's investigation, such as perju... and intimidation of witnesses ."" 28 C.F.R . § ... that arose . .. directly from the investigatio... that may have occurred during the course of th... Counsel's appointment. ""If the Special Counsel... Order further provided, ""the Special Counsel i... the investigation of these matters. "" Id. ,r(c... ""Sections 600.4 throu gh 600.10 of Title 28 of... The Acting Attorney General further clarified ... investigatory authority in two subsequent memo... explained that the Appointment Order had been ... release without confirming specific investigat... confirmed that the Special Counsel had been au... allegations that three Trump campaign official... Papadopoulos - ""comm itted a crime or crimes b... with respect to the Russian government's effor... The memorandum also confirmed the Special Coun... matters , including two additional sets of all... payments he received from the Ukrainian govern... 11 NaN",2
20,"U .S. Department of Justice Att:ert1eyWerk Predttet:// Ma~·Cet'tl:aiAMater... from a bank whose CEO was then seeking a posit... that Papadopoulos committed a crime or crimes ... government; and four sets of allegations invol... Advisor to President Trump. On October 20, 2017 , the Acting Attorney Gene... Special Counsel's investigative authority as t... full and thorough investigation of the Russian... presidential election,"" the Special Counsel wa... of Michael Cohen , Richard Gates , ... I"" ""Confirmation of the authorization to i... stressed , ""does not suggest that the Special ... committed a crime ."" Second, with respect to M... Special Counsel ' s authority to investigate ""... Essential Consultants LLC to, inter alia, rece... memorandum memoriali zed the Special Counsel's... who were possibly engaged in ""jointly undertak... investigation , including Paul Manafort. Final... opened befor e the Special Counsel's appointme... Jeff Sessions] made false statements to the Un... Counsel's authority to investigate that matter. The Special Counsel structured the investigati... exercise all investigative and prosecutorial f... § 600 .6. Like a U.S. Attorney 's Office, the ... classified and unclassified information availa... investigation , and the Office structured that... of federal crimes (assuming that one or more c... There was substantial evidence immediately ava... the investigation in May 2017 because the FBI ... election interference for nearly 10 months. Th... regarding what to investigate and did not , fo... between the Trump Campaign and Russian -affili... The Office has concluded its investigation int... government and individuals associated with the... with the Office's work remain ongoing. After c... General, the Office has transferred responsibi... of the Department of Justice and FBI. Appendix... Two district courts confirmed the breadth of t... Russia election interference and links and/or ... States v. Manafort , 312 F. Supp . 3d 60, 79-8... Supp. 3d 640, 650-655 (E.D . Va . 2018). In th... periodically identified evidence of potential ... Special Counsel's authority established by the... 12 NaN",2
21,"U.S. Department of Justice Att6rHey 1ilt6rk Pr6dttet // M!t)· C61\taiAMat... the Office of the Deputy Attorney General, the... enforcement authorities, principally other com... Appendix D summarizes those referrals. ** * To carry out the investigation and prosecution... Counsel assembled a team that at its high poin... Office from private practice and 14 on detail ... components. These attorneys were assisted by a... personnel who screened materials obtained via ... turning those materials over to investigators;... Department 's Antitrust Division; and an admin... finance, purchasing, human resources , records... administrative support. The Special Counsel at... worked alongside approximatel y 40 FBI agents,... paralegal, and professional staff assigned by ... Those ""assigned"" FBI employees remained under ... which they assisted were supervised by the Spe... During its investigation the Office issued mor... a grand jury sitting in the District of Columb... obtained more than 230 orders for communicatio... almost 50 orders authorizing use of pen regist... pursuant to Mutual Legal Assistance Treaties; ... including almost 80 before a grand jury. *** From its inception, the Office recognized that... intelligence and counterintelligence informati... mission. FBI personnel who assisted the Office... such information to the FBI. The FBI's Counter... for that purpose for most of the Office's tenu... embedded personnel at the Office who did not w... whose purpose was to review the results of the... of foreign intellig ence and counterintelligen... Those communications and other correspondence ... information derived from the investigation, no... Volume is a summary. It contains, in the Offic... for the Special Counsel's prosecution and decl... main factual results. 1 FBI personnel assigned to the Special Couns... federal law and all Department and FBI regulat... FBI-related matters for the Office, such as FB... the FBI's Domestic Investigations and Operatio... legal superv ision, not the Special Counsel's ... 13 NaN",0
22,"U.S. Department of Justice AUorttey Work Proattet // Mtt'.)CotttttittMttt... 1 II. RUSSIAN ""ACTIVE MEASURES"" SOCIAL MEDIA CA... The first form of Russian election influence c... Agency, LLC (IRA), a Russian organization fund... companies he controlled, including Concord Man... Catering (collectively ""Concord""). 2 The IRA c... U.S. audiences with the goal of sowing discord... constituted ""active measures"" (aKTMBHbie ... conducted by Russian security services aimed a... The IRA and its employees began operations tar... Using fictitious U.S. personas, IRA employees ... designed to attract U.S. audiences. These grou... political and social issues, falsely claimed t... social media accounts became a means to reach ... the United States in mid-2014 on an intelligen... photographs for use in their social media posts. IRA employees posted derogatory information ab... U.S. presidential election. By early to mid-20... Campaign and disparaging candidate Hillary Cli... out those activities , including buying politi... persons and entities. Some IRA employees, posi... Russian association, communicated electronical... Campaign and with other political activists to... staging of political rallies. 5 The investigat... knowingly or intentionally coordinated with th... By the end of the 2016 U.S. election , the IRA... persons through their social media accounts . ... 2 The Offic e is aware of reports that other Rus... operations targeting the United States. Some e... and the Office has shared that evidence with o... 3 Harm to Ongoing Matter see also SM-2230634 , serial 44 (analysis). Th... identified in the report, should be treated as... additional law enforcement sensitive information. 4 As discussed in Part V below, the active mea... against 13 individual Russian nationals and th... United States, in violation of 18 U.S.C. § 371... v. Internet Research Agency, et al., 1:18-cr-3... Indictment""). 14 NaN",0
23,"U.S. Department of Justice Att:srAe~·Wark Prsdttet // Mtty CsAta.iAMttter... Instagram accounts had hundreds of thousands o... accounts separately had tens of thousands of f... who retweeted IRA-created content. In November... Facebook had identified 470 IRA-controlled Fac... posts between January 2015 and August 2017. Fa... 126 million persons through its Face book acco... had identified 3,814 IRA-controlled Twitter ac... people Twitter believed may have been in conta... A. Structure of the Internet Research Agency Harm to Ongoing Matter ... Matter Harm to Ongoing Matter I !"" "" I I Harm to Ongoing Matter Harm to Ongoing Matter anization also led to a more detailed or aniza... 6 Social Media Influence in the 2016 US. Electio... on Intelligence, 115th Cong. 13 (11/1/17) (tes... estimate that roughly 29 million people were s... 80,000 posts over the two years. Posts from th... Facebook, and, as a result, three times more p... the Russian operation. Our best estimate is th... content from a Page associated with the IRA at... representative also testified that Facebook ha... 120,000 pieces of content during that time. Fa... Instagram. 7 Twitter, Update on Twitter's Review of the 201... 8 See SM-2230634, serial 92. - Harm to Ongoing Matter 9 10 Harm to Ongoing Matter 11 See SM-2230634, serial 86 Harm to Ongoing Matter 15 NaN",0
24,"U.S. Department of Justice A«:eme:,·Wefk Pfedttet // Ma:,·Cefl:taifl: ... . , I . I . .. .. .. .. . - .. .. Harm to Ongoing Matter . . . aHarm to Ongoing Matter of 2014, the IRA be an to hide its fundin and ... I I. • I • . I• I ... Harm to Ongoing Matter ■Harm to Ongoing Matter B. Funding and Oversight from Concord and Prig... Until at least February 2018, Yevgeniy Viktoro... funded the IRA. Prigozhin is a wealthy Russian... 13 Harm to Ongoing Matter -· See, e.g., SM-2230634 , serials 9, ... 14 15 Harm to Ongoing Matter Harm to Ongoing Matter 131 & 204. 17 Harm to Ongoing Matter 18 Harm to Ongoing Matter 16 NaN",1
25,"U.S. Department of Justice AUeni:ey 1Nerk Predt1et // May Cetttatt, Matet... sources have reported on Prigozhin's ties to P... photographs. 22 Harm to Ongoing Matter 1t1Harm to Ongoing Matter Harm to Ongoing Matter 11Harm to Ongoing Matter 11Harm to Ongoing Matter Harm to Ongoing Matter 19 U.S. Treasury Deprutment, ""Treasury Sanctions ... Russia 's Occupation of Crimea and the Conflic... Harm to Ongoing Matter 22 See, e.g., Neil MacFarquhar , Yevgeny Prigozhi... as ""Putin's Cook"", New York Times (Feb. 16, 20... 24 Harm to Ongoing Matter see also SM- 17 NaN",1
26,"U.S. Department of Justice Attertte, Werk Pred1:1et// Mtty Cetttttifl Mtt... Harm to Ongoing Matter aHarm to Ongoing Matter Harm to Ongoing Matter Harm to Ongoing Matter Harm to Ongoing Matter 26 Harm to Ongoing Matter 27 Harm to Ongoing Matter 28 The term ""tro 11 "" refers to internet users- in this context, p... or otherwise disruptive content on social medi... 18 NaN",1
